Episodio,Recompensa total,Pasos,Mean Reward Calculado,duracion (s),steps per second,Recompensa Episodio,mean action,loss,duration (s),Tiempo acumulado
579,10.36,585,0.02906,18.115,32,17.0,2.515,0.007453,18.115,9092.849999999997
580,10.42,793,0.022699,24.501,32,18.0,2.446,0.006343,24.501,9117.350999999997
581,10.5,656,0.027439,20.309,32,18.0,2.716,0.006971,20.309,9137.659999999996
582,10.49,483,0.022774,15.159,32,11.0,2.377,0.007343,15.159,9152.818999999996
583,10.45,362,0.019337,11.108,33,7.0,2.376,0.006438,11.108,9163.926999999996
584,10.37,427,0.018735,13.275,32,8.0,2.494,0.006729,13.275,9177.201999999996
585,10.3,296,0.02027,9.061,33,6.0,2.709,0.006155,9.061,9186.262999999995
586,10.38,719,0.025035,22.231,32,18.0,2.816,0.006723,22.231,9208.493999999995
587,10.35,420,0.028571,12.993,32,12.0,2.288,0.008765,12.993,9221.486999999996
588,10.38,471,0.029724,14.807,32,14.0,2.444,0.007519,14.807,9236.293999999996
589,10.38,450,0.022222,13.952,32,10.0,2.36,0.007279,13.952,9250.245999999996
590,10.4,386,0.023316,11.889,32,9.0,2.44,0.007609,11.889,9262.134999999995
591,10.3,287,0.013937,9.003,32,4.0,2.394,0.007774,9.003,9271.137999999995
592,10.26,427,0.021077,13.108,33,9.0,2.515,0.008133,13.108,9284.245999999996
593,10.35,639,0.023474,19.775,32,15.0,2.538,0.010912,19.775,9304.020999999995
594,10.36,560,0.021429,17.351,32,12.0,2.771,0.009507,17.351,9321.371999999996
595,10.38,311,0.028939,9.779,32,9.0,2.891,0.006211,9.779,9331.150999999996
